District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Develi,1+1,13000.0,04,,13.043478260869565,,
Develi,2+1,11750.0,04,,-14.545454545454545,,
Develi,3+1,14250.0,04,,8.571428571428571,,
Hacılar,3+1,25000.0,04,,92.3076923076923,,
Hacılar,3.5+1,40000.0,04,,0.0,,
Hacılar,4+1,9000.0,04,,0.0,,
Kocasinan / Argıncık,2+1,8500.0,04,,-19.047619047619047,,
Kocasinan / Argıncık,3+1,16000.0,04,,14.285714285714285,,
Kocasinan / Argıncık,4+1,32750.0,04,,3.968253968253968,,
Kocasinan / Erkilet,2+1,14250.0,04,,3.6363636363636362,,
Kocasinan / Erkilet,2.5+1,17250.0,04,,6.976744186046512,,
Kocasinan / Erkilet,3+0,14995.0,04,,0.0,,
Kocasinan / Erkilet,3+1,17500.0,04,,2.941176470588235,,
Kocasinan / Erkilet,3.5+1,23000.0,04,,24.324324324324326,,
Kocasinan / Erkilet,4+1,20050.0,04,,0.25,,
Kocasinan / Erkilet,4.5+1,20000.0,04,,0.0,,
Kocasinan / Erkilet,5+1,64500.0,04,,0.0,,
Kocasinan / Fevziçakmak,1+1,21125.0,04,,0.0,,
Kocasinan / Fevziçakmak,2+1,10250.0,04,,-6.8181818181818175,,
Kocasinan / Fevziçakmak,2.5+1,10000.0,04,,,,
Kocasinan / Fevziçakmak,3+1,15000.0,04,,13.20754716981132,,
Kocasinan / Fevziçakmak,4+1,26250.0,04,,-6.25,,
Kocasinan / Fevziçakmak,5+1,47500.0,04,,0.0,,
Kocasinan / Merkez,1+1,16830.0,04,,-0.38472920982539216,,
Kocasinan / Merkez,2+1,18125.0,04,,15.079365079365079,,
Kocasinan / Merkez,2.5+1,16000.0,04,,0.0,,
Kocasinan / Merkez,3+0,15550.0,04,,-2.8125,,
Kocasinan / Merkez,3+1,21000.0,04,,9.803921568627452,,
Kocasinan / Merkez,3.5+1,38500.0,04,,25.203252032520325,,
Kocasinan / Merkez,4+0,14750.0,04,,-7.8125,,
Kocasinan / Merkez,4+1,32500.0,04,,1.5625,,
Kocasinan / Sanayi,1+1,21745.0,04,,0.0,,
Kocasinan / Sanayi,2+1,18625.0,04,,11.194029850746269,,
Kocasinan / Sanayi,3+1,13750.0,04,,-1.7857142857142856,,
Kocasinan / Sanayi,4+1,19250.0,04,,6.944444444444445,,
Kocasinan / Sanayi,5+1,72500.0,04,,-6.451612903225806,,
Kocasinan / Sanayi,Stüdyo (1+0),19995.0,04,,0.0,,
Kocasinan / Yenimahalle,2+1,10125.0,04,,0.0,,
Kocasinan / Yenimahalle,2.5+1,11000.0,04,,0.0,,
Kocasinan / Yenimahalle,3+1,15500.0,04,,6.896551724137931,,
Kocasinan / Yenimahalle,4+1,28000.0,04,,12.0,,
Kocasinan / Yenimahalle,4+2,17500.0,04,,0.0,,
Kocasinan / Yenimahalle,5+1,22000.0,04,,-4.3478260869565215,,
Kocasinan / Yenişehir,2+1,12000.0,04,,4.3478260869565215,,
Kocasinan / Yenişehir,2.5+1,20500.0,04,,10.81081081081081,,
Kocasinan / Yenişehir,3+1,17000.0,04,,10.38961038961039,,
